date,snapshot_type,security,jq_quantity,alignment_status
2026-06-17,END_OF_DAY,300405.XSHE,11000,JQ_POSITION
2026-06-17,END_OF_DAY,300417.XSHE,7200,JQ_POSITION
2026-06-17,END_OF_DAY,300535.XSHE,5600,JQ_POSITION
2026-06-17,END_OF_DAY,300605.XSHE,4800,JQ_POSITION
2026-06-17,END_OF_DAY,300886.XSHE,1400,JQ_POSITION
2026-06-17,END_OF_DAY,300929.XSHE,7500,JQ_POSITION
2026-06-17,END_OF_DAY,301098.XSHE,2100,JQ_POSITION
2026-06-17,END_OF_DAY,301167.XSHE,6000,JQ_POSITION
2026-06-17,END_OF_DAY,600455.XSHG,3400,JQ_POSITION
2026-06-17,END_OF_DAY,600493.XSHG,13900,JQ_POSITION
2026-06-17,END_OF_DAY,600561.XSHG,15000,JQ_POSITION
